frame,object_id,class,x,y,width,height,center_x,center_y,area
585,1387,person,1065.51,389.93,120.84,258.13,1065.51,389.93,31192.63
585,1463,person,1230.08,281.64,99.83,315.51,1230.08,281.64,31498.67
586,1387,person,1060.83,393.48,122.11,261.27,1060.83,393.48,31902.83
587,1387,person,1058.34,396.3,123.16,264.41,1058.34,396.3,32565.07
588,1387,person,1058.01,396.45,123.18,265.27,1058.01,396.45,32675.71
589,1387,person,1058.04,396.5,122.31,263.87,1058.04,396.5,32272.94
590,1387,person,1058.64,397.17,122.08,262.9,1058.64,397.17,32094.92
591,1387,person,1059.79,397.87,122.17,261.35,1059.79,397.87,31929.51
592,1387,person,1061.86,396.03,121.55,258.62,1061.86,396.03,31436.46
593,1387,person,1063.66,392.74,121.08,257.14,1063.66,392.74,31133.07
594,1387,person,1064.23,389.83,120.63,256.09,1064.23,389.83,30892.64
595,1387,person,1066.45,388.29,121.39,258.27,1066.45,388.29,31351.07
596,1387,person,1067.9,384.36,122.84,260.78,1067.9,384.36,32034.2
597,1387,person,1065.76,381.13,124.31,263.83,1065.76,381.13,32795.86
598,1387,person,1063.87,383.69,126.48,269.4,1063.87,383.69,34073.89
599,1387,person,1060.44,382.54,127.24,273.31,1060.44,382.54,34777.63
600,1387,person,1056.4,381.76,126.33,274.07,1056.4,381.76,34622.82
601,1387,person,1052.26,379.68,123.33,269.11,1052.26,379.68,33188.22
602,1387,person,1049.69,381.13,122.18,268.15,1049.69,381.13,32761.78
603,1387,person,1051.9,384.97,125.81,276.26,1051.9,384.97,34756.99
604,1387,person,1047.82,397.14,126.84,282.21,1047.82,397.14,35795.72
605,1387,person,1043.9,400.71,121.37,272.43,1043.9,400.71,33066.48
606,1387,person,1040.78,400.72,121.28,274.82,1040.78,400.72,33329.47
607,1387,person,1038.65,398.4,121.72,279.38,1038.65,398.4,34005.82
608,1387,person,1038.54,394.76,118.77,274.21,1038.54,394.76,32567.73
609,1387,person,1040.62,393.84,119.46,276.45,1040.62,393.84,33025.73
